index,date,open,high,low,close,volume
247,"2020/01/17, 07:00:00",1.07483,1.07573,1.07407,1.07447,1e+100
248,"2020/01/17, 11:00:00",1.07447,1.07551,1.07349,1.07538,1e+100
249,"2020/01/17, 15:00:00",1.07538,1.07541,1.07353,1.07361,1e+100
250,"2020/01/17, 19:00:00",1.07361,1.07411,1.07315,1.07373,1e+100
251,"2020/01/19, 23:00:00",1.07376,1.07423,1.07295,1.07402,1e+100
252,"2020/01/20, 03:00:00",1.07402,1.07464,1.07387,1.07462,1e+100
253,"2020/01/20, 07:00:00",1.07462,1.07502,1.07351,1.07357,1e+100
254,"2020/01/20, 11:00:00",1.07357,1.0745,1.07348,1.07384,1e+100
255,"2020/01/20, 15:00:00",1.07384,1.07461,1.07362,1.07409,1e+100
256,"2020/01/20, 19:00:00",1.07409,1.07456,1.07366,1.07435,1e+100
257,"2020/01/20, 23:00:00",1.07435,1.0748,1.07334,1.07341,1e+100
258,"2020/01/21, 03:00:00",1.07341,1.07421,1.07328,1.07385,1e+100
259,"2020/01/21, 07:00:00",1.07385,1.07438,1.07311,1.07382,1e+100
260,"2020/01/21, 11:00:00",1.07382,1.07512,1.07369,1.07463,1e+100
261,"2020/01/21, 15:00:00",1.07463,1.07516,1.07345,1.07401,1e+100
262,"2020/01/21, 19:00:00",1.07401,1.07423,1.07342,1.07356,1e+100
263,"2020/01/21, 23:00:00",1.07356,1.07461,1.07332,1.07441,1e+100
264,"2020/01/22, 03:00:00",1.07441,1.07498,1.07421,1.07493,1e+100
265,"2020/01/22, 07:00:00",1.07493,1.0788,1.07448,1.07735,1e+100
266,"2020/01/22, 11:00:00",1.07735,1.07743,1.07535,1.07543,1e+100
267,"2020/01/22, 15:00:00",1.07543,1.07567,1.07379,1.07437,1e+100
268,"2020/01/22, 19:00:00",1.07437,1.07447,1.07356,1.07372,1e+100
269,"2020/01/22, 23:00:00",1.07372,1.07402,1.07309,1.0733,1e+100
270,"2020/01/23, 03:00:00",1.0733,1.07377,1.073,1.07341,1e+100
271,"2020/01/23, 07:00:00",1.07341,1.07437,1.073,1.07407,1e+100
272,"2020/01/23, 11:00:00",1.07407,1.07473,1.07231,1.07237,1e+100
273,"2020/01/23, 15:00:00",1.07237,1.07242,1.07023,1.07107,1e+100
274,"2020/01/23, 19:00:00",1.07107,1.07219,1.07101,1.07124,1e+100
275,"2020/01/23, 23:00:00",1.07124,1.07208,1.07102,1.07179,1e+100
276,"2020/01/24, 03:00:00",1.07179,1.07212,1.07141,1.07182,1e+100
277,"2020/01/24, 07:00:00",1.07182,1.07233,1.07115,1.07136,1e+100
278,"2020/01/24, 11:00:00",1.07136,1.07197,1.07041,1.07045,1e+100
279,"2020/01/24, 15:00:00",1.07045,1.07118,1.07006,1.07048,1e+100
280,"2020/01/24, 19:00:00",1.07048,1.07114,1.07025,1.07075,1e+100
281,"2020/01/26, 23:00:00",1.07075,1.07092,1.0694,1.07083,1e+100
282,"2020/01/27, 03:00:00",1.07083,1.071,1.07031,1.07071,1e+100
283,"2020/01/27, 07:00:00",1.07071,1.0717,1.06921,1.06926,1e+100
284,"2020/01/27, 11:00:00",1.06926,1.0698,1.06827,1.06841,1e+100
285,"2020/01/27, 15:00:00",1.06841,1.06897,1.06769,1.06887,1e+100
